t,order
0.0,0.3199234504577883
1.0,0.11692985488128328
2.0,0.38916563257069614
3.0,0.6789286109387418
4.0,0.8841363037161718
5.0,0.8330008652455687
6.0,0.9174168005268365
7.0,0.9344091682142833
8.0,0.912072443686179
9.0,0.861850608973419
10.0,0.9829982825284819
11.0,0.9673897956986394
12.0,0.8922806663317667
13.0,0.880006493882885
14.0,0.8237621585243663
15.0,0.8945737805678865
16.0,0.8739049771847271
17.0,0.9504212894553382
18.0,0.9847523686490636
19.0,0.9492418313179078
20.0,0.957499192938735
21.0,0.9023830153692592
22.0,0.9329791837138838
23.0,0.8290457623845978
24.0,0.7337266439816501
25.0,0.755497442865162
26.0,0.9329466098237641
27.0,0.926685553393315
28.0,0.9061022172159159
29.0,0.9447073273388418
30.0,0.9312370803672102
31.0,0.8776234972734445
32.0,0.9495869662164336
33.0,0.9874050889860069
34.0,0.9633731586256097
35.0,0.8848822605684613
36.0,0.727173518240785
37.0,0.7759499637624431
38.0,0.821877336941889
39.0,0.8080052530960913
40.0,0.9136900514595264
41.0,0.9278749608355624
42.0,0.9341403676314606
43.0,0.9479595365697907
44.0,0.8984342201184516
45.0,0.931316180908386
46.0,0.9796577441431104
47.0,0.9782752694247139
48.0,0.8989057954003727
49.0,0.8622524494807204
50.0,0.7681243811050286
51.0,0.7810605810669412
52.0,0.602902679557908
53.0,0.8166999909604691
54.0,0.9109712980165865
55.0,0.9163632214834208
56.0,0.9012593290248846
57.0,0.9356616877867242
58.0,0.8659008705542544
59.0,0.9556444179228838
60.0,0.959616044941968
61.0,0.7493082727336141
62.0,0.9118602353289487
63.0,0.960505780614047
64.0,0.9533702628769116
65.0,0.8825581562946719
66.0,0.9385897115685544
67.0,0.9458203824061088
68.0,0.7304607974701928
69.0,0.9062720902779202
70.0,0.9602744113056144
71.0,0.8079989947222265
72.0,0.8280663505284382
73.0,0.8302482095025058
74.0,0.8506300161776474
75.0,0.7030022597324606
76.0,0.9367406552682687
77.0,0.9723870295698118
78.0,0.9497362265435848
79.0,0.9455143497874207
80.0,0.9765044584661596
81.0,0.962174275305789
82.0,0.9385257251632487
83.0,0.957545560383035
84.0,0.979054598892747
85.0,0.886425645080536
86.0,0.9282929681944436
87.0,0.8663614740322205
88.0,0.983344660638816
89.0,0.9636388802921673
90.0,0.9177735133334157
91.0,0.9392071340914888
92.0,0.964165999618179
93.0,0.9758004362734012
94.0,0.8980928955608929
95.0,0.9141683862082364
96.0,0.9569297819792667
97.0,0.9412747389555598
98.0,0.9344926714601518
99.0,0.983639931285069
